fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,cutmix,copy_paste
0.0,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0
0.0,0.01,0.01028,0.98,0.00052,3.10028,0.64053,7.17947,0.51837,1.65917,0.01804,0.76137,0.33887,0.0,0.1,0.45946,0.0,0.0,0.0,0.55431,0.0,0.87107,0.0,0.0,0.0
0.0,0.00939,0.01068,0.98,0.00047,3.01505,0.61532,6.73748,0.51837,1.57933,0.01623,0.78419,0.37141,0.0,0.1,0.4685,0.0,0.0,0.0,0.49765,0.0,0.86623,0.0,0.0,0.0
0.0,0.01001,0.00995,0.9363,0.0005,2.90315,0.79491,7.48066,0.50637,1.5135,0.015,0.7,0.41088,0.0,0.09918,0.5,0.0,0.0,0.0,0.50144,0.0,1.0,0.0,0.0,0.0
0.0,0.01,0.01075,0.937,0.00055,3.06182,0.89443,6.20655,0.47431,1.5001,0.01436,0.7401,0.37152,0.0,0.09268,0.46819,0.0,0.0,0.0,0.55448,0.0,1.0,0.0,0.0,0.0
0.0,0.00958,0.01,0.92398,0.0005,2.85263,0.82386,7.68661,0.50736,1.68577,0.015,0.7,0.36632,0.0,0.10709,0.5,0.0,0.0,0.0,0.50156,0.0,0.98535,0.0,0.0,0.0
0.0,0.01087,0.01095,0.97972,0.00049,3.10028,0.64053,7.4168,0.50439,1.69412,0.01715,0.76137,0.32697,0.0,0.10297,0.45946,0.0,0.0,0.0,0.53979,0.0,0.87107,0.0,0.0,0.0
0.0,0.01,0.00863,0.98,0.00069,2.5872,0.6449,7.7005,0.62221,1.65917,0.01988,0.79578,0.32711,0.0,0.09187,0.35238,0.0,0.0,0.0,0.55941,0.0,0.97878,0.0,0.0,0.0
0.0,0.00813,0.01288,0.89705,0.00055,2.2227,0.89443,8.10691,0.47431,1.34368,0.01436,0.9,0.50611,0.0,0.09268,0.46819,0.0,0.0,0.0,0.47903,0.0,1.0,0.0,0.0,0.0
0.0,0.01133,0.01137,0.93437,0.00038,3.40666,0.8,7.5,0.5,1.6367,0.01586,0.34394,0.28206,0.0,0.1029,0.37936,0.0,0.0,0.0,0.5,0.0,0.89917,0.0,0.0,0.0
0.0,0.00968,0.00614,0.98,0.00046,3.10028,0.69043,7.20697,0.58361,1.95595,0.01781,0.63482,0.34122,0.0,0.1,0.31011,0.0,0.0,0.0,0.65166,0.0,0.69063,0.0,0.0,0.0
0.0,0.0096,0.0108,0.98,0.00046,2.56696,0.68742,7.19532,0.50806,1.69631,0.01585,0.83666,0.33485,0.0,0.1154,0.36145,0.0,0.0,0.0,0.56448,0.0,0.67865,0.0,0.0,0.0
0.0,0.0098,0.01096,0.93164,0.0005,3.04262,0.8,7.85367,0.5288,1.54031,0.015,0.70997,0.4,0.0,0.09654,0.5431,0.0,0.0,0.0,0.5,0.0,0.97688,0.0,0.0,0.0
0.0,0.00737,0.01068,0.92052,0.00056,3.04815,0.6029,7.99745,0.48741,1.57933,0.02051,0.80536,0.37141,0.0,0.1,0.501,0.0,0.0,0.0,0.44881,0.0,0.86623,0.0,0.0,0.0
0.0,0.00705,0.00977,0.937,0.00046,3.0671,0.73095,7.47791,0.5,1.5,0.01498,0.86785,0.46227,0.0,0.09223,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0
0.0,0.00999,0.01064,0.9626,0.00049,3.35399,0.61532,6.73748,0.49853,1.56052,0.01612,0.7297,0.35788,0.0,0.10188,0.46943,0.0,0.0,0.0,0.49002,0.0,0.86623,0.0,0.0,0.0
0.0,0.00864,0.0103,0.92868,0.00051,2.70991,0.88548,7.25047,0.50637,1.48584,0.01459,0.7,0.4058,0.0,0.09947,0.52417,0.0,0.0,0.0,0.50797,0.0,1.0,0.0,0.0,0.0
0.0,0.01132,0.00848,0.98,0.00057,2.3909,0.44719,5.02294,0.48279,1.5955,0.01531,0.86294,0.31228,0.0,0.10237,0.54952,0.0,0.0,0.0,0.68683,0.0,0.7845,0.0,0.0,0.0
0.0,0.01042,0.01075,0.937,0.00047,3.06182,0.77361,4.73914,0.50324,1.44641,0.01538,0.7401,0.37152,0.0,0.10579,0.55987,0.0,0.0,0.0,0.55448,0.0,1.0,0.0,0.0,0.0
0.0,0.0102,0.00928,0.95838,0.00051,2.78838,0.74768,7.48066,0.46853,1.58573,0.01513,0.73162,0.38715,0.0,0.09324,0.48692,0.0,0.0,0.0,0.48389,0.0,0.87793,0.0,0.0,0.0
